Lineage,accuracy,precision,top3acc,top5acc
"""XG""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.621.1""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""BA.5.1.4""","tensor(0.8333, device='cuda:0')",1.0,1.0,1.0
"""BA.2.59""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""BA.1.6""","tensor(1., device='cuda:0')",0.875,1.0,1.0
"""B.1.1.317""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""AY.118""","tensor(0.7500, device='cuda:0')",1.0,1.0,1.0
"""B.1.1.416""","tensor(0.8000, device='cuda:0')",1.0,0.9333333333333333,0.9333333333333333
"""B.1.340""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""BA.2.22""","tensor(0.7143, device='cuda:0')",1.0,1.0,1.0
"""B.1.1.518""","tensor(0.8750, device='cuda:0')",1.0,0.875,0.875
"""BA.2.42""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""AY.4.2.5""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.177.45""","tensor(1., device='cuda:0')",0.6875,1.0,1.0
"""B.1.1.270""","tensor(0.9231, device='cuda:0')",1.0,0.9230769230769231,0.9230769230769231
"""B.4""","tensor(0.9091, device='cuda:0')",1.0,0.9090909090909091,1.0
"""AY.122.6""","tensor(1., device='cuda:0')",0.9,1.0,1.0
"""AY.39.1.1""","tensor(1., device='cuda:0')",0.9,1.0,1.0
"""AY.124.1""","tensor(0.8000, device='cuda:0')",1.0,0.9,0.9
"""AY.8""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""AY.29""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.177.11""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.1.204""","tensor(1., device='cuda:0')",0.9333333333333333,1.0,1.0
"""B.1.126""","tensor(1., device='cuda:0')",0.9166666666666666,1.0,1.0
"""B.1.567""","tensor(0.9167, device='cuda:0')",1.0,0.9166666666666666,0.9166666666666666
"""B.1.1.351""","tensor(0.8889, device='cuda:0')",1.0,0.8888888888888888,1.0
"""B.1.177.60""","tensor(0.5714, device='cuda:0')",1.0,0.7142857142857143,0.8571428571428571
"""B.1.36.8""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.550""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.3""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.617""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.1.33""","tensor(1., device='cuda:0')",0.4,1.0,1.0
"""P.1.17.1""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""AY.88""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""BA.2.14""","tensor(0.8333, device='cuda:0')",1.0,1.0,1.0
"""BA.2.3.10""","tensor(0.6667, device='cuda:0')",0.8,0.8333333333333334,0.8333333333333334
"""BA.2.3.5""","tensor(0.4167, device='cuda:0')",1.0,0.8333333333333334,0.9166666666666666
"""B.1.177.71""","tensor(0.2000, device='cuda:0')",0.5,0.8,1.0
"""B.1.443""","tensor(1., device='cuda:0')",0.625,1.0,1.0
"""B.1.1.240""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""AY.23""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""B.1.399""","tensor(0.7500, device='cuda:0')",0.8571428571428571,0.875,0.875
"""C.23""","tensor(0.9231, device='cuda:0')",1.0,1.0,1.0
"""AY.43""","tensor(0.6667, device='cuda:0')",1.0,0.8333333333333334,0.8333333333333334
"""B.1.201""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""BA.2.3.13""","tensor(0.2000, device='cuda:0')",0.25,0.8,1.0
"""B.1.1""","tensor(0.3158, device='cuda:0')",0.75,0.7894736842105263,0.7894736842105263
"""AY.4.10""","tensor(1., device='cuda:0')",1.0,1.0,1.0
"""BA.2.3.2""","tensor(1., device='cuda:0')",0.34782608695652173,1.0,1.0
