id,lineage
"""OX028807""","""XG"""
"""OX025687""","""XG"""
"""OX057471""","""XG"""
"""OX144950""","""XG"""
"""OW996122""","""XG"""
"""OX179267""","""XG"""
"""OX009717""","""XG"""
"""OX104472""","""XG"""
"""OX149693""","""XG"""
"""OX004883""","""XG"""
"""OW956687""","""XG"""
"""OX019031""","""XG"""
"""OX192547""","""XG"""
"""OW870040""","""XG"""
"""OX008279""","""XG"""
"""OX193271""","""XG"""
"""OX013201""","""XG"""
"""OX037073""","""XG"""
"""OX121671""","""XG"""
"""OX045806""","""XG"""
"""OX182203""","""XG"""
"""OX183263""","""XG"""
"""OX013966""","""XG"""
"""OX028678""","""XG"""
"""OX046023""","""XG"""
"""OX064629""","""XG"""
"""OX147038""","""XG"""
"""OX098793""","""XG"""
"""OX098613""","""XG"""
"""OX202654""","""XG"""
"""OX137886""","""XG"""
"""OX137795""","""XG"""
"""OX194901""","""XG"""
"""OX107231""","""XG"""
"""OX119393""","""XG"""
"""OX120136""","""XG"""
"""OX197657""","""XG"""
"""OX104908""","""XG"""
"""OX268446""","""XG"""
"""OX167549""","""XG"""
"""OX043183""","""XG"""
"""OX066740""","""XG"""
"""OX122021""","""XG"""
"""OX153442""","""XG"""
"""OX127141""","""XG"""
"""OX268005""","""XG"""
"""OX107982""","""XG"""
"""OX124297""","""XG"""
"""OX177582""","""XG"""
"""OX030139""","""XG"""
"""MZ742439""","""B.1.621.1"""
"""OK230236""","""B.1.621.1"""
"""MZ743849""","""B.1.621.1"""
"""OK250968""","""B.1.621.1"""
"""MZ841897""","""B.1.621.1"""
"""MZ865713""","""B.1.621.1"""
"""MZ780576""","""B.1.621.1"""
"""MZ637401""","""B.1.621.1"""
"""OK292286""","""B.1.621.1"""
"""OK295195""","""B.1.621.1"""
"""OK293175""","""B.1.621.1"""
"""OL312792""","""B.1.621.1"""
"""OL416450""","""B.1.621.1"""
"""OL312960""","""B.1.621.1"""
"""OK501884""","""B.1.621.1"""
"""OK551382""","""B.1.621.1"""
"""OK550064""","""B.1.621.1"""
"""OK233822""","""B.1.621.1"""
"""OL345104""","""B.1.621.1"""
"""OM486847""","""B.1.621.1"""
"""MZ729141""","""B.1.621.1"""
"""MZ841107""","""B.1.621.1"""
"""ON017716""","""B.1.621.1"""
"""ON017638""","""B.1.621.1"""
"""OK025759""","""B.1.621.1"""
"""OK249365""","""B.1.621.1"""
"""OK296737""","""B.1.621.1"""
"""OK025334""","""B.1.621.1"""
"""OK233721""","""B.1.621.1"""
"""OK252030""","""B.1.621.1"""
"""MZ727694""","""B.1.621.1"""
"""MZ965553""","""B.1.621.1"""
"""OK230546""","""B.1.621.1"""
"""ON017664""","""B.1.621.1"""
"""MZ707013""","""B.1.621.1"""
"""OK233596""","""B.1.621.1"""
"""OK250576""","""B.1.621.1"""
"""OK234921""","""B.1.621.1"""
"""OK213526""","""B.1.621.1"""
"""OK249327""","""B.1.621.1"""
"""MZ567288""","""B.1.621.1"""
"""MZ727674""","""B.1.621.1"""
"""MZ727817""","""B.1.621.1"""
"""OK269762""","""B.1.621.1"""
"""OK230332""","""B.1.621.1"""
"""ON017726""","""B.1.621.1"""
"""OK249141""","""B.1.621.1"""
"""OM180052""","""B.1.621.1"""
"""OK234748""","""B.1.621.1"""
"""OK467054""","""B.1.621.1"""
